retrieve_date,create_date,body,num_reply,num_retweets,num_quote,num_likes,id
12/3/2020,1/16/2020,"One of the greatest trade deals ever made! Also good for China and our long term relationship. 250 Billion Dollars will be coming back to our Country, and we are now in a great position for a Phase Two start. There has never been anything like this in U.S. history! USMCA NEXT!",14.8,30.4,2.1,150.6,1
12/3/2020,1/16/2020,"Cryin’ Chuck Schumer is saying privately that the new China Trade Deal is  unbelievable, which it is, but publicly he knocks it whenever possible. That’s politics, but so bad for our great Country!",14.5,24.8,1.3,120.8,2
12/3/2020,1/16/2020,"The farmers are really happy with the new China Trade Deal and the soon to be signed deal with Mexico and Canada, but I hope the thing they will most remember is the fact that I was able to take massive incoming Tariff money and use it to help them get through the tough times!",14.4,20.7,1.7,107.3,3
12/3/2020,1/17/2020,"“Years from now, when we look back at this day, nobody’s going to remember Nancy’s cheap theatrics, they will remember though how President Trump brought the Chinese to the bargaining table and delivered achievements few ever thought were possible.” @IngrahamAngle@FoxNews",14.5,22.5,1.5,101,4
12/3/2020,1/19/2020,"I will be going to Austin, Texas. Leaving soon. Always like (love!) being in the Lone Star State. Speaking to our great Farmers. They hit “paydirt” with our incredible new Trade Deals: CHINA, JAPAN, MEXICO, CANADA, SOUTH KOREA, and many others!",11.7,22,1.4,119,5
12/3/2020,1/22/2020,"One of the many great things about our just signed giant Trade Deal with China is that it will bring both the USA & China closer together in so many other ways. Terrific working with President Xi, a man who truly loves his country. Much more to come!",8.3,18.4,1.3,97.6,6
12/3/2020,1/24/2020,“He’s got to explain this. How did Hunter Biden get a billion and a half dollars (from China) to invest when he’d been in business for 60 days?” @LindseyGrahamSC @FoxNews,11.2,21.8,1.3,82.7,7
12/3/2020,1/24/2020,"China has been working very hard to contain the Coronavirus. The United States greatly appreciates their efforts and transparency. It will all work out well. In particular, on behalf of the American People, I want to thank President Xi!",13.9,31.3,12.9,124.1,8
12/3/2020,1/27/2020,"We are in very close communication with China concerning the virus. Very few cases reported in USA, but strongly on watch. We have offered China and President Xi any help that is necessary. Our experts are extraordinary!",9.5,20.7,1.5,111.5,9
12/3/2020,1/30/2020,"Working closely with China and others on Coronavirus outbreak. Only 5 people in U.S., all in good recovery.",11,20.3,1.6,125,10
12/3/2020,2/3/2020,"Republicans in Iowa, go out and Caucus today. Your great Trade Deals with China, Mexico, Canada, Japan, South Korea and more, are DONE. Great times are coming, after waiting for decades, for our Farmers, Ranchers, Manufacturers and ALL. Nobody else could have pulled this off!",6.4,18,0.715,80.2,11
12/3/2020,2/7/2020,"Just had a long and very good conversation by phone with President Xi of China. He is strong, sharp and powerfully focused on leading the counterattack on the Coronavirus. He feels they are doing very well, even building hospitals in a matter of only days. Nothing is easy, but...",6.5,15.6,2.2,91.8,12
12/3/2020,2/7/2020,"Replying to @realDonaldTrump....he will be successful, especially as the weather starts to warm & the virus hopefully becomes weaker, and then gone. Great discipline is taking place in China, as President Xi strongly leads what will be a very successful operation. We are working closely with China to help!",4,9.1,1,48.9,13
12/3/2020,2/18/2020,"Replying to @realDonaldTrump....product and goods to China and other countries. That’s what trade is all about. We don’t want to make it impossible to do business with us. That will only mean that orders will go to someplace else. As an example, I want China to buy our jet engines, the best in the World....",0.303,3.1,0.091,11.4,14
12/3/2020,2/21/2020,"IF OUR FORMALLY TARGETED FARMERS NEED ADDITIONAL AID UNTIL SUCH TIME AS THE TRADE DEALS WITH CHINA, MEXICO, CANADA AND OTHERS FULLY KICK IN, THAT AID WILL BE PROVIDED BY THE FEDERAL GOVERNMENT, PAID FOR OUT OF THE MASSIVE TARIFF MONEY COMING INTO THE USA!",36.6,22.5,7.4,106,15
12/3/2020,2/27/2020,"Congratulations and thank you to our great Vice President & all of the many professionals doing such a fine job at CDC & all other agencies on the Coronavirus situation. Only a very small number in U.S., & China numbers look to be going down. All countries working well together!",11.8,18.5,1.3,88.6,16
12/3/2020,2/28/2020,"So, the Coronavirus, which started in China and spread to various countries throughout the world, but very slowly in the U.S. because President Trump closed our border, and ended flights, VERY EARLY, is now being blamed, by the Do Nothing Democrats, to be the fault of “Trump”.",31.3,31.1,5.1,144.3,17
12/3/2020,3/2/2020,I was criticized by the Democrats when I closed the Country down to China many weeks ahead of what almost everyone recommended. Saved many lives. Dems were working the Impeachment Hoax. They didn’t have a clue! Now they are fear mongering. Be calm & vigilant!,17.7,32.5,2.1,145.5,18
12/3/2020,3/3/2020,"Australia’s Central Bank cut interest rates and stated it will most likely further ease in order to make up for China’s Coronavirus situation and slowdown. They reduced to 0.5%, a record low. Other countries are doing the same thing, if not more so. Our Federal Reserve has us....",3.2,12.7,0.581,51.3,19
12/3/2020,3/5/2020,"“I want to commend the President for how he has handled the CoronaVirus situation, especially his early decision to shut down access into our Country from China, despite strong opposition to that decision.” @SenTomCotton Thank you Tom!",5.4,10.8,0.527,50.8,20
12/3/2020,3/15/2020,"Replying to @realDonaldTrump ....The USA was never set up for this, just look at the catastrophe of the H1N1 Swine Flu (Biden in charge, 17,000 people lost, very late response time), but it soon will be. Great decision to close our China, and other, borders early. Saved many lives!",21,11.9,2.9,47.2,21
12/3/2020,3/16/2020,"The United States will be powerfully supporting those industries, like Airlines and others, that are particularly affected by the Chinese Virus. We will be stronger than ever before!",123.2,64.3,84,299.4,22
12/3/2020,3/17/2020,"Cuomo wants “all states to be treated the same.” But all states aren’t the same. Some are being hit hard by the Chinese Virus, some are being hit practically not at all. New York is a very big “hotspot”, West Virginia has, thus far, zero cases. Andrew, keep politics out of it....",50,34.4,10.3,163.5,23
12/3/2020,3/18/2020,"For the people that are now out of work because of the important and necessary containment policies, for instance the shutting down of hotels, bars and restaurants, money will soon be coming to you. The onslaught of the Chinese Virus is not your fault! Will be stronger than ever!",29.4,41.3,8.3,203.3,24
12/3/2020,3/18/2020,I will be having a news conference today to discuss very important news from the FDA concerning the Chinese Virus!,28.6,31.4,10.5,152.9,25
12/3/2020,3/18/2020,"I always treated the Chinese Virus very seriously, and have done a very good job from the beginning, including my very early decision to close the “borders” from China - against the wishes of almost all. Many lives were saved. The Fake News new narrative is disgraceful & false!",101.6,54.9,25.1,283.6,26
12/3/2020,3/18/2020,"I only signed the Defense Production Act to combat the Chinese Virus should we need to invoke it in a worst case scenario in the future. Hopefully there will be no need, but we are all in this TOGETHER!",50.5,33.3,7.7,187.9,27
12/3/2020,3/22/2020,"My friend (always there when I’ve needed him!), Senator @RandPaul , was just tested “positive” from the Chinese Virus. That is not good! He is strong and will get better. Just spoke to him and he was in good spirits.",32.7,27.2,4.1,178.5,28
12/3/2020,3/23/2020,"Replying to @realDonaldTrump....us since the beginning of this crisis.” They meant the opposite? Forgot to mention that I closed our Country to China (and Europe) very early, long before it was considered acceptable to do so. Sleepy Joe said I was “xenophobic”, but I saved thousands of lives! Fake News!",14.2,13.5,1.1,66.4,29
12/3/2020,3/25/2020,“President Trump’s decision to very early on restrict travel from China saved tens of thousands of lives.”  @LouDobbs @FoxBusiness,12.5,18.3,1.4,98.4,30
12/3/2020,3/27/2020,Just finished a very good conversation with President Xi of China. Discussed in great detail the CoronaVirus that is ravaging large parts of our Planet. China has been through much & has developed a strong understanding of the Virus. We are working closely together. Much respect!,52.1,47.6,19.1,316.3,31
12/3/2020,4/7/2020,"The W.H.O. really blew it. For some reason, funded largely by the United States, yet very China centric. We will be giving that a good look. Fortunately I rejected their advice on keeping our borders open to China early on. Why did they give us such a faulty recommendation?",76.3,102.6,16.8,429.7,32
12/3/2020,4/11/2020,"The Wall Street Journal Editorial Board doesn’t have a clue on how to fight and win. Their views on Tariffs & Trade are losers for the U.S., but winners for other countries, including China. If we followed their standards,  we’d have no Country left. They should love Sleepy Joe!",5.4,15.1,0.658,66.2,33
12/3/2020,4/11/2020,"So now the Fake News @nytimes is tracing the CoronaVirus origins back to Europe, NOT China. This is a first! I wonder what the Failing New York Times got for this one? Are there any NAMED sources? They were recently thrown out of China like dogs, and obviously want back in. Sad!",24,38.4,3.9,159.5,34
12/3/2020,4/12/2020,"Great businessman & philanthropist Bernie Marcus, Co-Founder of Home Depot, said that Congress was too distracted by the (phony) Impeachment Witch Hunt when they should have been investigating  CoronaVirus when it first appeared in China. Media played a big roll also!@dcexaminer",34.1,4.3,131.2,131.3,35
12/3/2020,4/12/2020,"If the Fake News Opposition Party is pushing, with all their might, the fact that President Trump “ignored early warnings about the threat,” then why did Media & Dems viciously criticize me when I instituted a Travel Ban on China? They said “early & not necessary.” Corrupt Media!",29.7,44.6,3.8,185,36
12/3/2020,4/12/2020,"The @nytimes story is a Fake, just like the “paper” itself. I was criticized for moving too fast when I issued the China Ban, long before most others wanted to do so. @SecAzar told me nothing until later, and Peter Navarro memo was same as Ban (see his statements). Fake News!",26.8,26.2,2.1,113.6,37
12/3/2020,4/17/2020,"China has just announced a doubling in the number of their deaths from the Invisible Enemy. It is far higher than that and far higher than the U.S., not even close!",42.7,55.7,7.6,249.8,38
12/3/2020,4/25/2020,"The Do Nothing Democrats are spending much of their money on Fake Ads. I never said that the CoronaVirus is a “Hoax”, I said that the Democrats, and the way they lied about it, are a Hoax. Also, it did start with “one person from China”, and then grew, & will be a “Miracle” end!",36.5,30.3,3.8,129.4,39
12/3/2020,5/1/2020,Concast (@NBCNews) and Fake News @CNN are going out of their way to say GREAT things about China. They are Chinese puppets who want to do business there. They use USA airwaves to help China. The Enemy of the People!,32.6,40.3,4.2,147.2,40
12/3/2020,5/3/2020,"Intelligence has just reported to me that I was correct, and that they did NOT bring up the CoronaVirus subject matter until late into January, just prior to my banning China from the U.S. Also, they only spoke of the Virus in a very non-threatening, or matter of fact, manner...",28.8,36.7,3.4,151.5,41
12/3/2020,5/3/2020,"Replying to @realDonaldTrump....Fake News got it wrong again, as always, and tens of thousands of lives were saved by my EARLY BAN of China into our Country. The people that we’re allowed were heavily scrutinized and tested U.S. citizens, and as such, I welcome them with open arms!",11.7,20.4,1.1,87.7,42
12/3/2020,5/4/2020,MSDNC and FAKE NEWS CNN are going wild trying to protect China!,28,37.3,3.4,159.6,43
