"","retrieve_date","create_date","body","num_reply","num_retweets","num_quote","num_likes","id","afinn","pos_bing","neg_bing","bing","word_count","sentimentr"
"1",2020-12-03,2020-01-16,"One of the greatest trade deals ever made! Also good for China and our long term relationship. 250 Billion Dollars will be coming back to our Country, and we are now in a great position for a Phase Two start. There has never been anything like this in U.S. history! USMCA NEXT!",14.8,30.4,2.1,150.6,1,2.2,0.8,0,0.8,52,0.0791758007870497
"2",2020-12-03,2020-01-16,"Cryin’ Chuck Schumer is saying privately that the new China Trade Deal is  unbelievable, which it is, but publicly he knocks it whenever possible. That’s politics, but so bad for our great Country!",14.5,24.8,1.3,120.8,2,-0.5,0.5,1,-0.5,34,-0.0583204374074459
"3",2020-12-03,2020-01-16,"The farmers are really happy with the new China Trade Deal and the soon to be signed deal with Mexico and Canada, but I hope the thing they will most remember is the fact that I was able to take massive incoming Tariff money and use it to help them get through the tough times!",14.4,20.7,1.7,107.3,3,7,2,0,2,55,0.906798815013061
"4",2020-12-03,2020-01-17,"“Years from now, when we look back at this day, nobody’s going to remember Nancy’s cheap theatrics, they will remember though how President Trump brought the Chinese to the bargaining table and delivered achievements few ever thought were possible.” @IngrahamAngle@FoxNews",14.5,22.5,1.5,101,4,NA,2,1,1,43,0.0914991421995628
"5",2020-12-03,2020-01-19,"I will be going to Austin, Texas. Leaving soon. Always like (love!) being in the Lone Star State. Speaking to our great Farmers. They hit “paydirt” with our incredible new Trade Deals: CHINA, JAPAN, MEXICO, CANADA, SOUTH KOREA, and many others!",11.7,22,1.4,119,5,1.6,0.8,0.2,0.6,41,0.248120309402201
"6",2020-12-03,2020-01-22,"One of the many great things about our just signed giant Trade Deal with China is that it will bring both the USA & China closer together in so many other ways. Terrific working with President Xi, a man who truly loves his country. Much more to come!",8.3,18.4,1.3,97.6,6,2.33333333333333,1,0,1,47,0.307434697395274
"7",2020-12-03,2020-01-24,"“He’s got to explain this. How did Hunter Biden get a billion and a half dollars (from China) to invest when he’d been in business for 60 days?” @LindseyGrahamSC @FoxNews",11.2,21.8,1.3,82.7,7,NA,NA,NA,NA,31,0
"8",2020-12-03,2020-01-24,"China has been working very hard to contain the Coronavirus. The United States greatly appreciates their efforts and transparency. It will all work out well. In particular, on behalf of the American People, I want to thank President Xi!",13.9,31.3,12.9,124.1,8,1.25,1,0.25,0.75,39,0.342406425761762
"9",2020-12-03,2020-01-27,"We are in very close communication with China concerning the virus. Very few cases reported in USA, but strongly on watch. We have offered China and President Xi any help that is necessary. Our experts are extraordinary!",9.5,20.7,1.5,111.5,9,0.5,0.25,0.25,0,37,0.169900204406261
"10",2020-12-03,2020-01-30,"Working closely with China and others on Coronavirus outbreak. Only 5 people in U.S., all in good recovery.",11,20.3,1.6,125,10,1.5,1,0.5,0.5,18,0.075
"11",2020-12-03,2020-02-03,"Republicans in Iowa, go out and Caucus today. Your great Trade Deals with China, Mexico, Canada, Japan, South Korea and more, are DONE. Great times are coming, after waiting for decades, for our Farmers, Ranchers, Manufacturers and ALL. Nobody else could have pulled this off!",6.4,18,0.715,80.2,11,1.5,0.5,0,0.5,45,0.154077873346124
"12",2020-12-03,2020-02-07,"Just had a long and very good conversation by phone with President Xi of China. He is strong, sharp and powerfully focused on leading the counterattack on the Coronavirus. He feels they are doing very well, even building hospitals in a matter of only days. Nothing is easy, but...",6.5,15.6,2.2,91.8,12,2.25,1.75,0,1.75,49,0.401397746245879
"13",2020-12-03,2020-02-07,"Replying to @realDonaldTrump....he will be successful, especially as the weather starts to warm & the virus hopefully becomes weaker, and then gone. Great discipline is taking place in China, as President Xi strongly leads what will be a very successful operation. We are working closely with China to help!",4,9.1,1,48.9,13,3.5,1.25,0.5,0.75,49,0.18049363881574
"14",2020-12-03,2020-02-18,"Replying to @realDonaldTrump....product and goods to China and other countries. That’s what trade is all about. We don’t want to make it impossible to do business with us. That will only mean that orders will go to someplace else. As an example, I want China to buy our jet engines, the best in the World....",0.303,3.1,0.091,11.4,14,0.833333333333333,0.166666666666667,0.166666666666667,0,58,0.047507183692769
"15",2020-12-03,2020-02-21,"IF OUR FORMALLY TARGETED FARMERS NEED ADDITIONAL AID UNTIL SUCH TIME AS THE TRADE DEALS WITH CHINA, MEXICO, CANADA AND OTHERS FULLY KICK IN, THAT AID WILL BE PROVIDED BY THE FEDERAL GOVERNMENT, PAID FOR OUT OF THE MASSIVE TARIFF MONEY COMING INTO THE USA!",36.6,22.5,7.4,106,15,NA,NA,NA,NA,45,0.377150132204965
"16",2020-12-03,2020-02-27,"Congratulations and thank you to our great Vice President & all of the many professionals doing such a fine job at CDC & all other agencies on the Coronavirus situation. Only a very small number in U.S., & China numbers look to be going down. All countries working well together!",11.8,18.5,1.3,88.6,16,3,1.66666666666667,0.333333333333333,1.33333333333333,48,0.265854584785603
"17",2020-12-03,2020-02-28,"So, the Coronavirus, which started in China and spread to various countries throughout the world, but very slowly in the U.S. because President Trump closed our border, and ended flights, VERY EARLY, is now being blamed, by the Do Nothing Democrats, to be the fault of “Trump”.",31.3,31.1,5.1,144.3,17,-2,2,2,0,48,-0.312851677117128
"18",2020-12-03,2020-03-02,"I was criticized by the Democrats when I closed the Country down to China many weeks ahead of what almost everyone recommended. Saved many lives. Dems were working the Impeachment Hoax. They didn’t have a clue! Now they are fear mongering. Be calm & vigilant!",17.7,32.5,2.1,145.5,18,0.166666666666667,0.5,0.5,0,45,0.0762943321581864
"19",2020-12-03,2020-03-03,"Australia’s Central Bank cut interest rates and stated it will most likely further ease in order to make up for China’s Coronavirus situation and slowdown. They reduced to 0.5%, a record low. Other countries are doing the same thing, if not more so. Our Federal Reserve has us....",3.2,12.7,0.581,51.3,19,0.5,0.25,0,0.25,49,0.159705411174284
"20",2020-12-03,2020-03-05,"“I want to commend the President for how he has handled the CoronaVirus situation, especially his early decision to shut down access into our Country from China, despite strong opposition to that decision.” @SenTomCotton Thank you Tom!",5.4,10.8,0.527,50.8,20,7,3,1,2,37,-0.0904194430179465
"21",2020-12-03,2020-03-15,"Replying to @realDonaldTrump ....The USA was never set up for this, just look at the catastrophe of the H1N1 Swine Flu (Biden in charge, 17,000 people lost, very late response time), but it soon will be. Great decision to close our China, and other, borders early. Saved many lives!",21,11.9,2.9,47.2,21,-0.75,0.25,0.5,-0.25,49,0.0618447169852557
"22",2020-12-03,2020-03-16,"The United States will be powerfully supporting those industries, like Airlines and others, that are particularly affected by the Chinese Virus. We will be stronger than ever before!",123.2,64.3,84,299.4,22,2.5,2,0.5,1.5,28,0.214510957882103
"23",2020-12-03,2020-03-17,"Cuomo wants “all states to be treated the same.” But all states aren’t the same. Some are being hit hard by the Chinese Virus, some are being hit practically not at all. New York is a very big “hotspot”, West Virginia has, thus far, zero cases. Andrew, keep politics out of it....",50,34.4,10.3,163.5,23,0,0,0.5,-0.5,53,0.106038855932384
"24",2020-12-03,2020-03-18,"For the people that are now out of work because of the important and necessary containment policies, for instance the shutting down of hotels, bars and restaurants, money will soon be coming to you. The onslaught of the Chinese Virus is not your fault! Will be stronger than ever!",29.4,41.3,8.3,203.3,24,1.33333333333333,1,1,0,49,0.1758146275508
"25",2020-12-03,2020-03-18,"I will be having a news conference today to discuss very important news from the FDA concerning the Chinese Virus!",28.6,31.4,10.5,152.9,25,2,1,1,0,20,0.190065778087482
"26",2020-12-03,2020-03-18,"I always treated the Chinese Virus very seriously, and have done a very good job from the beginning, including my very early decision to close the “borders” from China - against the wishes of almost all. Many lives were saved. The Fake News new narrative is disgraceful & false!",101.6,54.9,25.1,283.6,26,1,0.333333333333333,1.33333333333333,-1,47,0.118332827400757
"27",2020-12-03,2020-03-18,"I only signed the Defense Production Act to combat the Chinese Virus should we need to invoke it in a worst case scenario in the future. Hopefully there will be no need, but we are all in this TOGETHER!",50.5,33.3,7.7,187.9,27,-1,0,1,-1,39,-0.223428066057586
"28",2020-12-03,2020-03-22,"My friend (always there when I’ve needed him!), Senator @RandPaul , was just tested “positive” from the Chinese Virus. That is not good! He is strong and will get better. Just spoke to him and he was in good spirits.",32.7,27.2,4.1,178.5,28,3,1.25,0.25,1,40,0.168367025373231
"29",2020-12-03,2020-03-23,"Replying to @realDonaldTrump....us since the beginning of this crisis.” They meant the opposite? Forgot to mention that I closed our Country to China (and Europe) very early, long before it was considered acceptable to do so. Sleepy Joe said I was “xenophobic”, but I saved thousands of lives! Fake News!",14.2,13.5,1.1,66.4,29,-0.8,0,0.4,-0.4,51,-0.0274370712165152
"30",2020-12-03,2020-03-25,"“President Trump’s decision to very early on restrict travel from China saved tens of thousands of lives.”  @LouDobbs @FoxBusiness",12.5,18.3,1.4,98.4,30,0,0,1,-1,20,-0.145344418537486
"31",2020-12-03,2020-03-27,"Just finished a very good conversation with President Xi of China. Discussed in great detail the CoronaVirus that is ravaging large parts of our Planet. China has been through much & has developed a strong understanding of the Virus. We are working closely together. Much respect!",52.1,47.6,19.1,316.3,31,1.6,0.8,0.2,0.6,45,0.379808130785365
"32",2020-12-03,2020-04-07,"The W.H.O. really blew it. For some reason, funded largely by the United States, yet very China centric. We will be giving that a good look. Fortunately I rejected their advice on keeping our borders open to China early on. Why did they give us such a faulty recommendation?",76.3,102.6,16.8,429.7,32,0.6,0.6,0.4,0.2,51,0.18740388742188
"33",2020-12-03,2020-04-11,"The Wall Street Journal Editorial Board doesn’t have a clue on how to fight and win. Their views on Tariffs & Trade are losers for the U.S., but winners for other countries, including China. If we followed their standards,  we’d have no Country left. They should love Sleepy Joe!",5.4,15.1,0.658,66.2,33,1.5,0.75,0.25,0.5,51,0.218294375248913
"34",2020-12-03,2020-04-11,"So now the Fake News @nytimes is tracing the CoronaVirus origins back to Europe, NOT China. This is a first! I wonder what the Failing New York Times got for this one? Are there any NAMED sources? They were recently thrown out of China like dogs, and obviously want back in. Sad!",24,38.4,3.9,159.5,34,-0.666666666666667,0.333333333333333,0.5,-0.166666666666667,52,-0.0496737682252428
"35",2020-12-03,2020-04-12,"Great businessman & philanthropist Bernie Marcus, Co-Founder of Home Depot, said that Congress was too distracted by the (phony) Impeachment Witch Hunt when they should have been investigating  CoronaVirus when it first appeared in China. Media played a big roll also!@dcexaminer",34.1,4.3,131.2,131.3,35,1,0.5,0.5,0,42,-0.0879791216304093
"36",2020-12-03,2020-04-12,"If the Fake News Opposition Party is pushing, with all their might, the fact that President Trump “ignored early warnings about the threat,” then why did Media & Dems viciously criticize me when I instituted a Travel Ban on China? They said “early & not necessary.” Corrupt Media!",29.7,44.6,3.8,185,36,-7,0.5,3,-2.5,46,-0.361874120092192
"37",2020-12-03,2020-04-12,"The @nytimes story is a Fake, just like the “paper” itself. I was criticized for moving too fast when I issued the China Ban, long before most others wanted to do so. @SecAzar told me nothing until later, and Peter Navarro memo was same as Ban (see his statements). Fake News!",26.8,26.2,2.1,113.6,37,-2.5,0.5,0.75,-0.25,51,-0.189684377213067
"38",2020-12-03,2020-04-17,"China has just announced a doubling in the number of their deaths from the Invisible Enemy. It is far higher than that and far higher than the U.S., not even close!",42.7,55.7,7.6,249.8,38,-1,0,1,-1,32,-0.272843164921634
"39",2020-12-03,2020-04-25,"The Do Nothing Democrats are spending much of their money on Fake Ads. I never said that the CoronaVirus is a “Hoax”, I said that the Democrats, and the way they lied about it, are a Hoax. Also, it did start with “one person from China”, and then grew, & will be a “Miracle” end!",36.5,30.3,3.8,129.4,39,-1.66666666666667,0.333333333333333,1.33333333333333,-1,54,-0.134431056930995
"40",2020-12-03,2020-05-01,"Concast (@NBCNews) and Fake News @CNN are going out of their way to say GREAT things about China. They are Chinese puppets who want to do business there. They use USA airwaves to help China. The Enemy of the People!",32.6,40.3,4.2,147.2,40,0.25,0.25,0.75,-0.5,40,-0.214574092231203
"41",2020-12-03,2020-05-03,"Intelligence has just reported to me that I was correct, and that they did NOT bring up the CoronaVirus subject matter until late into January, just prior to my banning China from the U.S. Also, they only spoke of the Virus in a very non-threatening, or matter of fact, manner...",28.8,36.7,3.4,151.5,41,0,1,1,0,52,-0.0678058943889
"42",2020-12-03,2020-05-03,"Replying to @realDonaldTrump....Fake News got it wrong again, as always, and tens of thousands of lives were saved by my EARLY BAN of China into our Country. The people that we’re allowed were heavily scrutinized and tested U.S. citizens, and as such, I welcome them with open arms!",11.7,20.4,1.1,87.7,42,-1,0.333333333333333,0.666666666666667,-0.333333333333333,51,-0.0479223921885774
"43",2020-12-03,2020-05-04,"MSDNC and FAKE NEWS CNN are going wild trying to protect China!",28,37.3,3.4,159.6,43,-2,1,2,-1,12,-0.0721687836487032
"44",2020-12-03,2020-05-10,"We are getting great marks for the handling of the CoronaVirus pandemic, especially the very early BAN of people from China, the infectious source, entering the USA. Compare that to the Obama/Sleepy Joe disaster known as H1N1 Swine Flu. Poor marks, bad polls - didn’t have a clue!",62.3,24.1,116.3,116.4,44,-2.66666666666667,0.333333333333333,1,-0.666666666666667,50,-0.518954904071091
"45",2020-12-03,2020-05-10,".@CBS and their show, @60Minutes, are doing everything within their power, which is far less today than it was in the past, to defend China and the horrible Virus pandemic that was inflicted on the USA and the rest of the World. I guess they want to do business in China!",25.8,2.9,104.3,104.3,45,-1,0,1,-1,51,-0.16840245744667
"46",2020-12-03,2020-05-12,"Asian Americans are VERY angry at what China has done to our Country, and the World. Chinese Americans are the most angry of all. I don’t blame them!",31.8,35,7.7,176.8,46,-2.66666666666667,0,1,-1,29,-0.383402424641963
"47",2020-12-03,2020-05-13,"As I have said for a long time, dealing with China is a very expensive thing to do. We just made a great Trade Deal, the ink was barely dry, and the World was hit by the Plague from China. 100 Trade Deals wouldn’t make up the difference - and all those innocent lives lost!",24.2,40.6,3.3,166.2,47,0,0.333333333333333,1,-0.666666666666667,54,-0.0327276850081532
"48",2020-12-03,2020-05-16,"Why is it that China, for decades, and with a population much bigger than ours, is paying a tiny fraction of $’s to The World Health Organization, The United Nations and, worst of all, The World Trade Organization, where they are considered a so-called “developing country” and...",22.9,37,2.5,159,48,-2,0,1,-1,48,0.115470053837925
"49",2020-12-03,2020-05-16,"Replying to @realDonaldTrump.....are therefore given massive advantages over The United States, and everyone else? Prior to the Plague floating in from China, our Economy was blowing everybody away, the best of any country, EVER. We will be there again, and soon!",12.7,23.4,1.3,111.7,49,1.5,0.5,0.25,0.25,42,0.298298917577299
"50",2020-12-03,2020-05-20,"Some wacko in China just released a statement blaming everybody other than China for the Virus which has now killed hundreds of thousands of people. Please explain to this dope that it was the “incompetence of China”, and nothing else, that did this mass Worldwide killing!",42,59.4,8.7,243.8,50,-4.5,0,2.5,-2.5,46,-0.409108945117996
"51",2020-12-03,2020-05-20,"Spokesman speaks stupidly on behalf of China, trying desperately to deflect the pain and carnage that their country spread throughout the world. Its disinformation and propaganda attack on the United States and Europe is a disgrace....",10.8,28.1,1.4,118.9,51,-5.5,0,3.5,-3.5,36,-0.640590599475116
"52",2020-12-03,2020-05-20,"China is on a massive disinformation campaign because they are desperate to have Sleepy Joe Biden win the presidential race so they can continue to rip-off the United States, as they have done for decades, until I came along!",44.9,55.5,5.4,234.6,52,2,1,2,-1,40,-0.226102852702039
"53",2020-12-03,2020-05-25,"Sleepy Joe Biden (mostly his reps.) went crazy when I banned, in late January, people coming in from China. He called me “xenophobic” & then went equally “nuts” when we let in 44,000 people - until he was told they were American citizens coming home. He later apologized!",13.6,22.1,1.2,95.5,53,-2.66666666666667,0,0.333333333333333,-0.333333333333333,45,0.0253429308435178
"54",2020-12-03,2020-05-25,"Nobody in 50 years has been WEAKER on China than Sleepy Joe Biden. He was asleep at the wheel. He gave them EVERYTHING they wanted, including rip-off Trade Deals. I am getting it all back!",21.6,32.3,2.4,150.1,54,NA,0,0.5,-0.5,35,0.0551386113219616
"55",2020-12-03,2020-05-25,"Great reviews on our handling of Covid 19, sometimes referred to as the China Virus. Ventilators, Testing, Medical Supply Distribution, we made a lot of Governors look very good - And got no credit for so doing. Most importantly, we helped a lot of great people!",62.6,27.3,7.1,150,55,3,1.33333333333333,0.333333333333333,1,44,0.197867342689634
"56",2020-12-03,2020-05-26,"For all of the political hacks out there, if I hadn’t done my job well, & early, we would have lost 1 1/2 to 2 Million People, as opposed to the 100,000 plus that looks like will be the number. That’s 15 to 20 times more than we will lose. I shut down entry from China very early!",37.3,22.3,4,102.5,56,-0.333333333333333,0.666666666666667,1,-0.333333333333333,53,-0.273406685753313
"57",2020-12-03,2020-05-26,"Replying to @realDonaldTrump....One person lost to this invisible virus is too much, it should have been stopped at its source, China, but I acted very quickly, and made the right decisions. Many of the current political complainers thought, at the time, that I was moving far to fast, like Crazy Nancy!",15.6,13.8,1.1,62.4,57,-1.33333333333333,1,1.33333333333333,-0.333333333333333,52,-0.0620751588062754
"58",2020-12-03,2020-05-27,"We have informed both India and China that the United States is ready, willing and able to mediate or arbitrate their now raging border dispute. Thank you!",22.6,31.2,6.8,169.4,58,0.5,1.5,1,0.5,27,0.261776695296637
"59",2020-12-03,2020-05-27,"The Radical Left Lamestream Media, together with their partner, the Do Nothing Democrats, are trying to spread a new narrative that President Trump was slow in reacting to Covid 19. Wrong, I was very fast, even doing the Ban on China long before anybody thought necessary!",42.5,25.7,4.1,109,59,-2,1,1.5,-0.5,45,0.129100984907542
"60",2020-12-03,2020-05-28,"All over the World the CoronaVirus, a very bad “gift” from China, marches on. Not good!",42.1,57.1,7.9,284.7,60,1,0.5,0.5,0,16,-0.325298822375251
"61",2020-12-03,2020-05-29,"Twitter is doing nothing about all of the lies & propaganda being put out by China or the Radical Left Democrat Party. They have targeted Republicans, Conservatives & the President of the United States. Section 230 should be revoked by Congress. Until then, it will be regulated!",57,61.8,10.4,247.3,61,-0.25,0,0.75,-0.75,44,-0.118779166811777
"62",2020-12-03,2020-05-29,"“The President has been targeted by Twitter.” @MariaBartiromo What about all of the lies and fraudulent statements made by Adam Schiff, and so many others, on the Russian Witch Hunt Plus, Plus, Plus? What about China’s propaganda? WHO’s mistakes? No flags @foxandfriends",29.1,36.1,3.5,131.5,62,-2,0,1,-1,44,-0.260492645980317
"63",2020-12-03,2020-05-29,"CHINA!",156.7,81.8,756.4,756.4,63,NA,NA,NA,NA,1,0
"64",2020-12-03,2020-05-30,"Concast (@NBCNews) and Fake News @CNN are going out of their way to say GREAT things about China. They are Chinese puppets who want to do business there. They use USA airwaves to help China. The Enemy of the People!",23.1,40.1,3.7,179.4,64,0.25,0.25,0.75,-0.5,40,-0.214574092231203
"65",2020-12-03,2020-06-18,"It was not Ambassador Lighthizer’s fault (yesterday in Committee) in that perhaps I didn’t make myself clear, but the U.S. certainly does maintain a policy option, under various conditions, of a complete decoupling from China. Thank you!",10.5,19,1.2,77.4,65,1.5,1,0.5,0.5,40,0.356842472751783
"66",2020-12-03,2020-06-19,"The Democrats are doing totally false advertising. They have done NOTHING for years, including when Sleepy Joe was V.P., and they now have a Fake ad that my China Deal is losing us jobs. Opposite, & China is paying us $BILLIONS. Also, I LOVE Seniors & protect Preexisting C’s.",17.1,20,1.6,76.7,66,-0.5,0.5,0.75,-0.25,49,-0.000185254682604298
"67",2020-12-03,2020-06-22,"The China Trade Deal is fully intact. Hopefully they will continue to live up to the terms of the Agreement!",14.6,20.6,2.5,111.6,67,2.5,NA,NA,NA,20,0.425342145564767
